COUNTRY_CODE,DWPI_KIND,PU,AU_BY,PUAB
AM,A,P,BY,PB
AM,A1,P,BY,PB
AM,A2,P,BY,PB
AM,B2,P,BY,PB
AM,U,U,BY,UB
AM,Y,P,AU,PA
AR,A,P,BY,PB
AR,A1,P,AU,PA
AR,A2,P,AU,PA
AR,A3,P,BY,PB
AR,A4,U,AU,UA
AR,A5,U,AU,UA
AR,A6,U,AU,UA
AT,A,P,AU,PA
AT,A1,P,AU,PA
AT,A2,P,AU,PA
AT,A3,P,AU,PA
AT,A4,P,AU,PA
AT,A5,P,AU,PA
AT,A8,P,AU,PA
AT,A9,P,AU,PA
AT,B,P,BY,PB
AT,B1,P,BY,PB
AT,B2,P,BY,PB
AT,B8,P,BY,PB
AT,B9,P,BY,PB
AT,U1,U,BY,UB
AT,U2,U,BY,UB
AT,U3,U,BY,UB
AT,U8,U,BY,UB
AT,U9,U,BY,UB
AU,A,P,AU,PA
AU,A1,P,AU,PA
AU,A2,P,AU,PA
AU,A4,P,BY,PB
AU,A5,P,BY,PB
AU,A6,P,BY,PB
AU,A8,P,AU,PA
AU,A9,P,AU,PA
AU,B,P,BY,PB
AU,B1,P,BY,PB
AU,B2,P,BY,PB
AU,B3,P,BY,PB
AU,B4,P,BY,PB
AU,B8,P,BY,PB
AU,B9,P,BY,PB
AU,C1,P,BY,PB
AU,C4,P,BY,PB
AU,C8,P,BY,PB
AU,C9,P,BY,PB
BE,A,P,BY,PB
BE,A0,P,AU,PA
BE,A3,P,AU,PA
BE,A4,P,AU,PA
BE,A5,P,AU,PA
BE,A6,P,BY,PB
BE,A7,P,BY,PB
BE,B3,P,BY,PB
BE,B5,P,BY,PB
BE,B6,P,BY,PB
BE,B7,P,BY,PB
BE,T,P,BY,PB
BE,T7,P,BY,PB
BR,A,P,AU,PA
BR,A2,P,AU,PA
BR,A3,P,AU,PA
BR,B1,P,BY,PB
BR,E2,P,BY,PB
BR,F1,P,BY,PB
BR,U2,U,AU,UA
BR,U8,U,AU,UA
BR,Y1,U,BY,UB
BR,Y8,U,BY,UB
BY,C1,P,BY,PB
BY,C2,P,BY,PB
BY,C8,P,BY,PB
BY,C9,P,BY,PB
CA,A,P,AU,PA
CA,A1,P,AU,PA
CA,B,P,BY,PB
CA,C,P,BY,PB
CA,E,P,BY,PB
CA,F,P,BY,PB
CH,A,P,AU,PA
CH,A1,P,AU,PA
CH,A2,P,AU,PA
CH,A3,P,AU,PA
CH,A5,P,BY,PB
CH,A8,P,AU,PA
CH,A9,P,AU,PA
CH,B,P,BY,PB
CH,B1,P,BY,PB
CH,B5,P,BY,PB
CH,B8,P,BY,PB
CH,B9,P,BY,PB
CH,C1,P,BY,PB
CH,C2,P,BY,PB
CH,C3,P,BY,PB
CH,C9,P,BY,PB
CH,H1,P,BY,PB
CH,H2,P,BY,PB
CH,H3,P,BY,PB
CH,H9,P,BY,PB
CN,A,P,AU,PA
CN,B,P,BY,PB
CN,C,P,BY,PB
CN,U,U,BY,UB
CN,Y,U,BY,UB
CN,U8,U,BY,UB
CN,U9,U,BY,UB
CS,A,P,AU,PA
CS,A1,P,AU,PA
CS,A2,P,AU,PA
CS,B,P,BY,PB
CZ,A3,P,AU,PA
CZ,B,P,BY,PB
CZ,B6,P,BY,PB
DD,A,P,BY,PB
DD,A3,P,BY,PB
DD,A4,P,BY,PB
DD,A5,P,BY,PB
DD,A7,P,BY,PB
DD,A8,P,BY,PB
DD,A9,P,AU,PA
DD,B,P,BY,PB
DD,B1,P,BY,PB
DD,B3,P,BY,PB
DD,B5,P,BY,PB
DD,C,P,BY,PB
DD,C2,P,BY,PB
DD,C4,P,BY,PB
DD,C5,P,BY,PB
DD,T9,P,BY,PB
DE,A,P,AU,PA
DE,A1,P,AU,PA
DE,A5,P,AU,PA
DE,A8,P,AU,PA
DE,A9,P,AU,PA
DE,B,P,BY,PB
DE,B3,P,BY,PB
DE,B4,P,BY,PB
DE,B8,P,BY,PB
DE,B9,P,BY,PB
DE,C,P,BY,PB
DE,C1,P,BY,PB
DE,C2,P,BY,PB
DE,C5,P,BY,PB
DE,C8,P,BY,PB
DE,C9,P,BY,PB
DE,E,P,BY,PB
DE,G,P,BY,PB
DE,T,P,AU,PA
DE,T0,P,AU,PA
DE,T2,P,BY,PB
DE,T5,P,AU,PA
DE,T8,P,AU,PA
DE,T9,P,AU,PA
DE,U,U,BY,UB
DE,U1,U,BY,UB
DE,U8,U,BY,UB
DE,U9,U,BY,UB
DK,A,P,AU,PA
DK,B,P,BY,PB
EA,B1,P,BY,PB
EA,B2,P,BY,PB
EA,B3,P,BY,PB
EA,B8,P,BY,PB
EA,B9,P,BY,PB
EP,A,P,AU,PA
EP,A1,P,AU,PA
EP,A2,P,AU,PA
EP,A3,P,AU,PA
EP,A4,P,AU,PA
EP,A8,P,AU,PA
EP,A9,P,AU,PA
EP,B,P,BY,PB
EP,B1,P,BY,PB
EP,B2,P,BY,PB
EP,B3,P,BY,PB
EP,B8,P,BY,PB
EP,B9,P,BY,PB
EP,C0,P,BY,PB
ES,A,P,AU,PA
ES,A1,P,AU,PA
ES,A2,P,AU,PA
ES,A6,P,AU,PA
ES,A8,P,AU,PA
ES,A9,P,AU,PA
ES,B,P,BY,PB
ES,B1,P,BY,PB
ES,B2,P,BY,PB
ES,B4,P,BY,PB
ES,B5,P,BY,PB
ES,B8,P,BY,PB
ES,B9,P,BY,PB
ES,R1,P,AU,PA
ES,R2,P,AU,PA
ES,R8,P,BY,PB
ES,R9,P,BY,PB
ES,T1,P,AU,PA
ES,T2,P,BY,PB
ES,T3,P,BY,PB
ES,T4,P,BY,PB
ES,T5,P,BY,PB
ES,T6,P,AU,PA
ES,T7,P,BY,PB
ES,T8,P,BY,PB
ES,T9,P,BY,PB
ES,U,U,AU,UA
ES,U8,P,BY,PB
ES,U9,P,BY,PB
ES,Y,P,BY,PB
ES,Y1,P,BY,PB
ES,Y2,P,BY,PB
ES,Y8,P,BY,PB
ES,Y9,P,BY,PB
FI,A,P,AU,PA
FI,B,P,AU,PA
FI,B1,P,BY,PB
FR,A,P,AU,PA
FR,A1,P,AU,PA
FR,A2,P,AU,PA
FR,A3,P,AU,PA
FR,B1,P,BY,PB
FR,B2,P,BY,PB
FR,B3,P,BY,PB
FR,B4,P,BY,PB
FR,E,P,BY,PB
FR,M,P,BY,PB
GB,A,P,AU,PA
GB,A8,P,AU,PA
GB,A9,P,AU,PA
GB,B,P,BY,PB
GB,B8,P,BY,PB
GB,C,P,BY,PB
GB,C2,P,BY,PB
GB,C3,P,BY,PB
GC,A,P,BY,PB
GE,B,P,BY,PB
GE,Y,U,BY,UB
HK,A,P,AU,PA
HK,A0,P,AU,PA
HK,A1,P,BY,PB
HK,A2,P,BY,PB
HK,B,P,BY,PB
HU,A,P,AU,PA
HU,A1,P,AU,PA
HU,A2,P,AU,PA
HU,B,P,BY,PB
HU,B1,P,BY,PB
HU,H,P,AU,PA
HU,T,P,BY,PB
ID,A,P,AU,PA
ID,A1,P,AU,PA
ID,S,P,BY,PB
ID,U1,P,BY,PB
IE,A,P,BY,PB
IE,B,P,BY,PB
IE,B2,P,BY,PB
IE,B3,P,BY,PB
IL,A,P,AU,PA
IL,A1,P,AU,PA
IL,B,P,BY,PB
IN,A,P,AU,PA
IN,B,P,BY,PB
IN,I1,P,AU,PA
IN,I2,P,AU,PA
IN,I3,P,AU,PA
IN,I4,P,AU,PA
IN,P1,P,AU,PA
IN,P2,P,AU,PA
IN,P3,P,AU,PA
IN,P4,P,AU,PA
IT,B,P,BY,PB
IT,B1,P,BY,PB
JP,A,P,AU,PA
JP,B,P,BY,PB
JP,B1,P,BY,PB
JP,B2,P,BY,PB
JP,U,U,AU,UA
JP,W,P,AU,PA
JP,X,P,AU,PA
JP,Y,U,BY,UB
